"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",22072650
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",24949244
"1ADN","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",24949244
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8055512
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",139757778
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",7052863
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",9406886
"29M","29METALS LIMITED","2021-07-02","Materials",1249183000
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1556987731
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",50729700
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",237232171
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",18441571
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",460346143
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",125895511
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",273877408
"5EA","5E ADVANCED MATERIALS INC.",,"Materials",0
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",118319085
"88E","88 ENERGY LIMITED","2000-01-20","Energy",710931657
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",36557360
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",64504078
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",114429839
"92E","92 ENERGY LIMITED","2021-04-15","Energy",40498758
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",28992069
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",11946698
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",26160272
"A1M","AIC MINES LIMITED","1993-11-04","Materials",169793260
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",138495285
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",3956252729
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",15837594
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",528998605
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",27623862
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",883053284
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",11084612
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",8542785
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",62598820
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",23408382
"AB1","ABARTA RESOURCES LIMITED",,"Materials",0
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",294550888
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",978145626
"ABC","ADBRI LIMITED","1962-05-31","Materials",1899146185
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",53495431
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2886422177
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",1002444629
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",13270207
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",22359081
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",277667266
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",31278845
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",166620382
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",119453046
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",1025316796
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",8305634
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",124308730
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",29786435
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",26097528
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",27806799
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",213461591
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",14867916
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",616425762
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",85068905
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",15493799
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",555392032
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",471908139
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",424481434
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",28610351
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",39640125
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",611968452
"ADV","ARDIDEN LTD","2005-10-25","Materials",34693366
"ADX","ADX ENERGY LTD","1987-01-29","Energy",25282716
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",19553687
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",58128123
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",143835718
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",992378429
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",87216651
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",18530916
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",10737579
"AEV","AVENIRA LIMITED","2006-10-10","Materials",12942792
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",47561177
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",613613840
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",10507088481
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",32782283
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",410413259
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",11830432
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",10500000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",48372597
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",219859388
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9974872266
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",66101187
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",407520654
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",4858838157
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",49025408
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",22114237
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",34322827
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",450627015
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",39786453
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",29350805
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",68245923
"AHK","ARK MINES LIMITED","2011-05-09","Materials",9369301
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",8129676
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",200757372
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",118923666
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10278406936
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",859417
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",206666031
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",127616535
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",26721099
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",19252530
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",304368457
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",10592534
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1650581015
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",40673746
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",37613700
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",43232192
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",5884361159
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",28075183
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",42133870
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",12799241
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",23804322
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",591766431
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",19559590
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",10639152
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",25248346
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",8800000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",310676918
"ALD","AMPOL LIMITED","1980-12-31","Energy",7237234747
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",633211941
