"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",28078464
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",21330623
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8333288
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services",8060415
"1VG","VICTORY GOLDFIELDS LIMITED","2021-07-22","Materials",9642058
"29M","29METALS LIMITED","2021-07-02","Materials",1297228500
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1801972854
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",77059533
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",277900544
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services",23289612
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",413343834
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment","N/A"
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",412288572
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",204884411
"5GN","5G NETWORKS LIMITED","2017-11-17","Telecommunication Services",109198316
"88E","88 ENERGY LIMITED","2000-01-20","Energy",388810908
"8AU","8 AU LIMITED",,"Class Pend",0
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",44311951
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",100339677
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",209788039
"92E","92 ENERGY LIMITED","2021-04-15","Energy",51376107
"99L","99 LOYALTY LIMITED.","2013-10-08","Software & Services",63782552
"9SP","9 SPOKES INTERNATIONAL LIMITED","2016-06-09","Software & Services",20906721
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",25194064
"A1M","AIC MINES LIMITED","1993-11-04","Materials","N/A"
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",160172808
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4632980169
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",21405506
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",400608910
"A8G","AUSTRALASIAN GOLD LIMITED","2021-05-13","Materials",34660129
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",955385294
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",10832689
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",9151249
"AAR","ANGLO AUSTRALIAN RESOURCES NL","1986-11-13","Materials",50079056
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",23712387
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",300399586
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",1116921435
"ABC","ADBRI LIMITED","1962-05-31","Materials",1983987767
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2994559031
"ABR","AMERICAN PACIFIC BORATES LIMITED","2017-07-28","Materials",719426206
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",12891058
"ABX","AUSTRALIAN BAUXITE LIMITED.","2009-12-24","Materials",24594990
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",470622485
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences",43173617
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",153880571
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",114755007
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",910271408
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",9689907
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",117033324
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",34041641
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",25631501
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",31282649
