Breakdown,2021-06-30 00:00:00,ticker
researchDevelopment,,EMS.AX
effectOfAccountingCharges,,EMS.AX
incomeBeforeTax,-534544,EMS.AX
minorityInterest,,EMS.AX
netIncome,-534544,EMS.AX
sellingGeneralAdministrative,241939,EMS.AX
grossProfit,66,EMS.AX
ebit,-534544,EMS.AX
operatingIncome,-534544,EMS.AX
otherOperatingExpenses,,EMS.AX
interestExpense,,EMS.AX
extraordinaryItems,,EMS.AX
nonRecurring,,EMS.AX
otherItems,,EMS.AX
incomeTaxExpense,0,EMS.AX
totalRevenue,66,EMS.AX
totalOperatingExpenses,534610,EMS.AX
costOfRevenue,0,EMS.AX
totalOtherIncomeExpenseNet,0,EMS.AX
discontinuedOperations,,EMS.AX
netIncomeFromContinuingOps,-534544,EMS.AX
netIncomeApplicableToCommonShares,-534544,EMS.AX
