Breakdown,Value,ticker
zip,2086,BUB.AX
sector,Consumer Defensive,BUB.AX
fullTimeEmployees,41,BUB.AX
compensationRisk,6,BUB.AX
auditRisk,9,BUB.AX
longBusinessSummary,"Bubs Australia Limited, together with its subsidiaries, engages in the production and sale of various infant nutrition products in Australia, China, and internationally. It offers organic baby food, goat milk and organic cow's milk infant formula, adult goat milk powder, and fresh dairy products, as well as pouches, cereals, and snacks under the Bubs and CapriLac brands. The company also provides children's vitamin and mineral supplement products under the Vita Bubs name; canning services for nutritional dairy products; and holds IP and trademarks. Bubs Australia Limited was incorporated in 1993 and is based in Frenchs Forest, Australia.",BUB.AX
city,Frenchs Forest,BUB.AX
phone,1800 2827 2878,BUB.AX
state,NSW,BUB.AX
shareHolderRightsRisk,1,BUB.AX
compensationAsOfEpochDate,1640908800,BUB.AX
governanceEpochDate,1643673600,BUB.AX
boardRisk,10,BUB.AX
country,Australia,BUB.AX
website,https://www.bubsaustralia.com,BUB.AX
maxAge,86400,BUB.AX
overallRisk,10,BUB.AX
address1,2-4/6 Tilley Lane,BUB.AX
fax,61 8 6141 3599,BUB.AX
industry,Packaged Foods,BUB.AX
