Breakdown,Value,ticker
zip,V6C 3N6,KCC.AX
sector,Basic Materials,KCC.AX
longBusinessSummary,"Kincora Copper Limited acquires, explores for, and develops mineral properties in Mongolia and Australia. The company primarily explores for copper and gold deposits. Its flagship project is the Trundle Project located in the Central West of New South Wales. The company was formerly known as Brazilian Diamonds Limited and changed its name to Kincora Copper Limited in January 2011. Kincora Copper Limited was incorporated in 1983 and is headquartered in Vancouver, Canada.",KCC.AX
city,Vancouver,KCC.AX
phone,604 283 1722,KCC.AX
state,BC,KCC.AX
compensationAsOfEpochDate,1609372800,KCC.AX
country,Canada,KCC.AX
website,https://www.kincoracopper.com,KCC.AX
maxAge,86400,KCC.AX
address1,837 West Hastings Street,KCC.AX
fax,888 241 5996,KCC.AX
industry,Copper,KCC.AX
address2,Suite 400,KCC.AX
